 安 AN100000605b89 06AN1000005b89
 阥 AN100000709625 07AN1000009625
 𡯏 AN100000721bcf 07AN1000021bcf
 侒 AN100000804f92 08AN1000004f92
 峖 AN100000905cd6 09AN1000005cd6
 峎 AN100000905cce 09AN1000005cce
 䢿 AN1000009048bf 09AN10000048bf
 桉 AN100001006849 10AN1000006849
 㫨 AN100001003ae8 10AN1000003ae8
 氨 AN100001006c28 10AN1000006c28
 㞄 AN100001103784 11AN1000003784
 谙 AN100001108c19 11AN1000008c19
 铵 AN1000011094f5 11AN10000094f5
 䀂 AN100001104002 11AN1000004002
 庵 AN100001105eb5 11AN1000005eb5
 𢰍 AN100001222c0d 12AN1000022c0d
 媕 AN100001205a95 12AN1000005a95
 㛺 AN1000012036fa 12AN10000036fa
 鉗 AN100001309257 13AN1000009257
 痷 AN1000013075f7 13AN10000075f7
 鹌 AN100001309e4c 13AN1000009e4c
 腤 AN100001308164 13AN1000008164
 菴 AN1000014083f4 14AN10000083f4
 誝 AN100001408a9d 14AN1000008a9d
 𩽾 AN100001429f7e 14AN1000029f7e
 銨 AN1000014092a8 14AN10000092a8
 萻 AN10000150843b 15AN100000843b
 𠽪 AN100001520f6a 15AN1000020f6a
 鞍 AN10000150978d 15AN100000978d
 鞌 AN10000150978c 15AN100000978c
 葊 AN10000150844a 15AN100000844a
 𧩸 AN100001627a78 16AN1000027a78
 𣚖 AN100001623696 16AN1000023696
 諳 AN100001608af3 16AN1000008af3
 盦 AN1000016076e6 16AN10000076e6
 闇 AN1000017095c7 17AN10000095c7
 馣 AN1000017099a3 17AN10000099a3
 蓭 AN1000017084ed 17AN10000084ed
 盫 AN1000018076eb 18AN10000076eb
 𧫥 AN100001827ae5 18AN1000027ae5
 𪁟 AN10000182a05f 18AN100002a05f
 𧫧 AN100001827ae7 18AN1000027ae7
 鵪 AN100001909d6a 19AN1000009d6a
 鶕 AN100002009d95 20AN1000009d95
 韽 AN1000020097fd 20AN10000097fd
 黯 AN100002109eef 21AN1000009eef
 𪘒 AN10000222a612 22AN100002a612
 𧮍 AN100002427b8d 24AN1000027b8d
 犴 AN2000006072b4 06AN20000072b4
 玵 AN2000009073b5 09AN20000073b5
 𣵱 AN200001023d71 10AN2000023d71
 啽 AN20000120557d 12AN200000557d
 雸 AN2000013096f8 13AN20000096f8
 𡪁 AN200001421a81 14AN2000021a81
 蝻 AN20000150877b 15AN200000877b
 𡽜 AN200001721f5c 17AN2000021f5c
 䜙 AN200002104719 21AN2000004719
 匼 AN30000080533c 08AN300000533c
 垵 AN3000009057b5 09AN30000057b5
 𠉬 AN30000102026c 10AN300002026c
 俺 AN300001004ffa 10AN3000004ffa
 唵 AN300001105535 11AN3000005535
 埯 AN3000011057ef 11AN30000057ef
 𥦍 AN30000122598d 12AN300002598d
 晻 AN30000120667b 12AN300000667b
 揞 AN3000012063de 12AN30000063de
 隌 AN30000120968c 12AN300000968c
 䅖 AN300001304156 13AN3000004156
 䁆 AN300001304046 13AN3000004046
 㽢 AN300001303f62 13AN3000003f62
 㜝 AN30000140371d 14AN300000371d
 罯 AN300001407f6f 14AN3000007f6f
 𦺽 AN300001626ebd 16AN3000026ebd
 𩈴 AN300001829234 18AN3000029234
 𤜁 AN300001924701 19AN3000024701
 𤃷 AN3000020240f7 20AN30000240f7
 𩅝 AN30000202915d 20AN300002915d
 㸩 AN400000703e29 07AN4000003e29
 𠰑 AN400000820c11 08AN4000020c11
 岸 AN400000805cb8 08AN4000005cb8
 㟁 AN4000008037c1 08AN40000037c1
 按 AN400000906309 09AN4000006309
 洝 AN400000906d1d 09AN4000006d1d
 豻 AN400001008c7b 10AN4000008c7b
 𤞿 AN4000010247bf 10AN40000247bf
 𧖮 AN4000010275ae 10AN40000275ae
 案 AN400001006848 10AN4000006848
 𣆛 AN40000102319b 10AN400002319b
 匎 AN40000100530e 10AN400000530e
 胺 AN4000010080fa 10AN40000080fa
 𤟉 AN4000011247c9 11AN40000247c9
 䅁 AN400001104141 11AN4000004141
 堓 AN400001105813 11AN4000005813
 荌 AN40000120834c 12AN400000834c
 𣣚 AN4000012238da 12AN40000238da
